short_name,bet_edge_ratio,bet_edge_ratio_raw,avg_pair_count,med_pair_count,bet_edge_ratio_median,bet_edge_ratio_std,bet_edge_ratio_min,bet_edge_ratio_max,rank
M2-D2,0.045041378374711026,0.0005630172296838878,14.0,8.0,0.0541310541310532,0.020873738471073933,0.021164021164021066,0.059829059829058805,0.5949367088607594
M2-D3,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.25
M2-D4,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M2-D6,0.03668091168091105,0.0004451566951566875,6.5,6.0,0.0135327635327633,0.05677044779483999,0.0,0.11965811965811761,0.5063291139240507
M2-D7,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M2-D9,0.317460317460316,0.00396825396825395,2.0,2.0,0.317460317460316,,0.317460317460316,0.317460317460316,0.819620253164557
M2-R1,0.028625695292361468,0.0003696920363586967,8.0,8.0,0.028625695292361468,0.010552400750307816,0.0211640211640208,0.036087369420702134,0.5379746835443038
M2-R2,0.7261904761904757,0.01129813222204526,9.0,6.0,0.7977207977207972,0.5248829929469553,0.05291005291005281,1.2564102564102557,0.9113924050632911
M2-R3,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M2-R4,0.07936507936507935,0.0009920634920634918,14.0,14.0,0.07936507936507935,0.11223917161691228,0.0,0.1587301587301587,0.6518987341772152
M2-R5,0.02659069325735947,0.00031655587211142224,4.0,4.0,0.0,0.04605643173022577,0.0,0.07977207977207841,0.25
M2-R6,0.317460317460316,0.00396825396825395,2.0,2.0,0.317460317460316,,0.317460317460316,0.317460317460316,0.819620253164557
M2-R8,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M3-D1,0.061494496788614274,0.002959321629398349,4.666666666666667,4.0,0.0646825396825394,0.05741670785161417,0.0,0.14869281045751614,0.6139240506329114
M3-D13,0.03329422937266059,0.0013267415228199522,3.0,2.0,0.0,0.05185074325047921,0.0,0.10826210826210735,0.25
M3-D2,0.0,0.0,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.25
M3-D3,0.026589423648247082,0.0011463742282156583,3.5,3.0,0.02287581699346405,0.03129598906609512,0.0,0.060606060606060226,0.5126582278481012
M3-D4,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M3-D6,0.02991452991452975,0.00035612535612535414,4.0,2.0,0.0,0.05181348569650459,0.0,0.08974358974358924,0.25
M3-D9,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M3-R1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
M3-R2,0.029738562091503228,0.002124183006535945,4.0,4.0,0.0,0.06649744638969954,0.0,0.14869281045751614,0.25
M3-R4,0.43508528508528466,0.008986454366889142,6.333333333333333,7.0,0.5552965552965546,0.26150826789678144,0.0,0.6581196581196573,0.8924050632911392
M3-R5,0.08002759767465596,0.0018612840224093332,3.2,2.0,0.052910052910052,0.07114513441431022,0.0,0.18181818181818069,0.5886075949367089
M3-R7,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
M4-D1,0.08651583710407183,0.00324115971174794,4.8,4.0,0.11965811965811761,0.08255648450230814,0.0,0.1830065359477124,0.7278481012658228
M4-D11,0.06037581699346406,0.004758986928104576,2.0,2.0,0.06037581699346406,0.020681717946469294,0.0457516339869281,0.07500000000000001,0.6075949367088608
M4-D12,0.0,0.0,4.0,4.0,0.0,,0.0,0.0,0.25
M4-D13,0.0598290598290595,0.0007122507122507083,4.0,4.0,0.0,0.10362697139300918,0.0,0.1794871794871785,0.25
M4-D14,0.025000000000000005,0.0020833333333333333,2.0,2.0,0.0,0.04330127018922194,0.0,0.07500000000000001,0.25
M4-D2,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
M4-D3,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.25
M4-D4,0.1082621082621064,0.0014245014245014,2.0,2.0,0.1082621082621064,,0.1082621082621064,0.1082621082621064,0.7088607594936709
M4-D5,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M4-D6,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.25
M4-R1,0.019943019943019603,0.00023741690408356667,2.6666666666666665,2.0,0.0,0.034542323797669326,0.0,0.059829059829058805,0.25
M4-R2,0.21143654820125374,0.005740147651912348,9.0,6.0,0.22800130153071296,0.16127212288343162,0.0,0.38974358974358914,0.7721518987341772
M4-R3,0.0,0.0,4.0,4.0,0.0,,0.0,0.0,0.25
M4-R4,0.47745307524719244,0.014596213655783124,4.0,4.0,0.33406862745098015,0.5074260736965196,0.0,1.1965811965811948,0.8354430379746836
M4-R6,0.0799755799755786,0.0010175010175009999,3.0,3.0,0.0799755799755786,0.03654967896242979,0.0541310541310532,0.105820105820104,0.6582278481012658
M4-R8,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M5-D1,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M5-D11,0.25668467335133904,0.0035550533738939374,3.0,2.0,0.0983645983645966,0.38506710932181587,0.0,0.830009496676163,0.6645569620253164
M5-D14,0.105820105820104,0.0013227513227513,2.0,2.0,0.105820105820104,,0.105820105820104,0.105820105820104,0.6835443037974683
M5-D3,0.0457516339869281,0.00326797385620915,2.0,2.0,0.0457516339869281,,0.0457516339869281,0.0457516339869281,0.5791139240506329
M5-R3,0.16239316239316148,0.002136752136752125,4.0,4.0,0.16239316239316148,,0.16239316239316148,0.16239316239316148,0.7531645569620253
M5-R4,1.3472710296239696,0.02881082164969631,2.4,2.0,1.555555555555554,0.9968117584121362,0.0,2.539682539682536,0.9620253164556962
