citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2013,2005,6,2,1
2014,2006,1,5,1
2014,2005,1,5,1
2014,2007,1,2,1
2014,2002,1,2,1
2014,2013,1,2,1
2014,2013,7,5,1
2012,1979,2,0,2
2012,2002,2,2,4
2012,2009,2,2,4
2006,2002,0,2,2
2006,1979,0,0,1
2013,2006,5,5,1
2013,2010,5,2,1
2013,2011,5,0,1
2013,2002,5,2,1
2013,2011,5,5,1
2013,2009,5,2,1
2013,1999,5,2,1
2007,2002,6,4,1
2007,1979,6,0,1
2007,2002,6,2,1
2010,1995,2,0,1
2010,2005,2,0,1
2012,2010,2,2,1
2012,2012,2,6,1
2012,2011,2,2,3
2012,2000,4,7,1
2012,2011,4,5,1
2016,2007,1,2,1
2016,2010,1,2,1
2016,2012,1,2,2
2013,2006,2,5,2
2013,2011,2,5,1
2011,1980,2,2,2
2011,2005,2,2,3
2011,2008,2,2,1
2011,2003,2,2,2
2011,1998,2,3,1
2011,2008,2,5,2
2011,2012,2,2,2
2011,2011,2,2,3
2011,2007,3,3,1
2011,2002,3,2,1
2011,2006,2,5,1
2011,1998,2,2,2
2011,2010,2,2,2
2007,1979,0,0,1
2013,2010,2,2,1
2015,1980,2,2,1
2015,1992,2,3,1
2015,2014,2,2,5
2015,2003,2,2,1
2015,2008,2,5,1
2015,2012,2,5,1
2015,2014,2,7,3
2012,2006,1,5,2
2012,1990,1,2,1
2012,2005,1,2,2
2012,2002,1,2,2
2017,2006,2,5,2
2017,2005,2,2,6
2017,2015,2,2,2
2017,2013,2,0,2
2017,2002,2,2,4
2017,2013,2,2,3
2017,2014,2,7,5
2017,2011,2,2,4
2017,2009,2,2,3
2017,2013,2,1,1
2015,2012,0,2,1
2015,2013,4,5,1
2015,2015,2,3,1
2005,1979,0,0,1
2013,2010,0,2,1
2013,2007,0,2,1
2013,1998,0,3,1
2013,2009,0,2,1
2012,2006,2,5,2
2011,2011,1,2,1
2016,2015,2,3,1
2016,1996,2,0,1
2016,2014,2,6,1
2016,2005,2,0,1
2014,2013,5,2,1
2014,2009,5,2,2
2016,2014,2,2,2
2016,2015,2,2,1
2016,2016,2,2,2
2011,2006,6,5,2
2011,2010,6,2,2
2011,2009,6,2,3
2011,1979,6,0,1
2011,2007,6,2,2
2011,2010,6,3,1
2011,2000,6,5,1
2011,2008,6,5,1
2011,2005,6,0,1
2011,2011,6,2,1
2011,1999,6,2,1
2014,2006,5,1,1
2014,2003,5,2,1
2014,2006,5,5,1
2024,2011,0,0,1
2024,1979,0,0,2
2024,2014,0,7,3
2015,2006,6,5,1
2015,2006,6,2,1
2015,2011,6,6,1
2015,1998,6,3,1
2015,2014,6,7,1
2015,2009,6,2,1
2007,2006,2,5,1
2007,1992,2,3,2
2007,1990,2,2,1
